kulturcode,kulturart 2012,kulturart 2013,kulturart 2014,kulturart 2015,kulturart 2016,kulturart 2017,kulturart 2018,kulturart 2019,kulturart 2020,kulturart 2021,kulturart 2022,kulturart 2023,kulturart 2024,latest_kulturart,all_kulturart,take_latest,take_Gruppe,new_kulturart,new_kulturcode
804,,,,Sida (Virginiamalve),Virginiamalve,Virginiamalve,Virginiamalve,Virginiamalve,Virginiamalve,Virginiamalve,Virginiamalve,Virginiamalve,Virginiamalve,Virginiamalve,"Sida (Virginiamalve), Virginiamalve",,,,
805,,,,Igniscum,"Staudenknöterich, Igniscum","Staudenknöterich, Igniscum","Staudenknöterich, Igniscum","Staudenknöterich, Igniscum","Staudenknöterich, Igniscum","Staudenknöterich, Igniscum","Staudenknöterich, Igniscum","Staudenknöterich, Igniscum","Staudenknöterich, Igniscum","Staudenknöterich, Igniscum","Igniscum, Staudenknöterich, Igniscum",,,,
822,,,,Streuobst (ohne Wiesennutzung),Streuobst als Ertragsanbau (ohne Wiesennutzung),Streuobst (ohne Wiesennutzung),Streuobst (ohne Wiesennutzung),Streuobst (ohne Wiesennutzung),Streuobst (ohne Wiesennutzung),Streuobst (ohne Wiesennutzung),Streuobst (ohne Wiesennutzung),Streuobst (ohne Wiesennutzung),Streuobst (ohne Wiesennutzung),Streuobst (ohne Wiesennutzung),"Streuobst (ohne Wiesennutzung), Streuobst als Ertragsanbau (ohne Wiesennutzung)",1,,,
824,Haselnüsse ,Haselnüsse ,Haselnüsse,"sonst. Obstanlagen in Vollanbau (ohne Äpfel, Birnen,","sonst. Obstanlagen in Vollanbau (ohne Äpfel, Birnen,","sonst. Obstanlagen in Vollanbau (ohne Äpfel, Birnen,","sonst. Obstanlagen in Vollanbau (ohne Äpfel, Birnen,
Pfirsiche)","sonst. Obstanlagen in Vollanbau (ohne Äpfel, Birnen,
Pfirsiche)","sonst. Obstanlagen in Vollanbau (ohne Äpfel, Birnen, Pfirsiche)","sonst. Obstanlagen in Vollanbau (ohne Äpfel, Birnen, Pfirsiche)","sonst. Obstanlagen in Vollanbau (ohne Äpfel, Birnen, Pfirsiche)","sonst. Obstanlagen in Vollanbau (ohne Äpfel, Birnen, Pfirsiche)","sonst. Obstanlagen in Vollanbau (ohne Äpfel, Birnen, Pfirsiche)","sonst. Obstanlagen in Vollanbau (ohne Äpfel, Birnen, Pfirsiche)","Haselnüsse , Haselnüsse, sonst. Obstanlagen in Vollanbau (ohne Äpfel, Birnen,, sonst. Obstanlagen in Vollanbau (ohne Äpfel, Birnen,
Pfirsiche), sonst. Obstanlagen in Vollanbau (ohne Äpfel, Birnen, Pfirsiche)",1,,,
825,Walnüsse,Walnüsse,Walnüsse,"Kernobst z.B. Äpfel, Birnen","Kernobst z.B. Äpfel, Birnen","Kernobst z.B. Äpfel, Birnen","Kernobst z.B. Äpfel, Birnen","Kernobst z.B. Äpfel, Birnen","Kernobst z.B. Äpfel, Birnen","Kernobst z.B. Äpfel, Birnen","Kernobst z.B. Äpfel, Birnen","Kernobst z.B. Äpfel, Birnen","Kernobst z.B. Äpfel, Birnen","Kernobst z.B. Äpfel, Birnen","Walnüsse, Kernobst z.B. Äpfel, Birnen",1,,,
826,,,,"Steinobst, z. B. Kirschen, Pflaumen","Steinobst, z. B. Kirschen, Pflaumen","Steinobst, z.B. Kirschen, Pflaumen","Steinobst, z.B. Kirschen, Pflaumen","Steinobst, z.B. Kirschen, Pflaumen","Steinobst, z. B. Kirschen, Pflaumen","Steinobst, z. B. Kirschen, Pflaumen","Steinobst, z. B. Kirschen, Pflaumen","Steinobst, z. B. Kirschen, Pflaumen","Steinobst, z. B. Kirschen, Pflaumen","Steinobst, z. B. Kirschen, Pflaumen","Steinobst, z. B. Kirschen, Pflaumen, Steinobst, z.B. Kirschen, Pflaumen",1,,,
827,,,,"Beerenobst, z.B. Johannis-, Stachel-, Himbeeren","Beerenobst, z.B., Heidelbeeren, Johannisbeeren,
Stachelbeeren, Himbeeren","Beerenobst, z.B., Johannis-, Stachel-, Himbeeren","Beerenobst, z.B., Johannis-, Stachel-, Himbeeren","Beerenobst, z.B., Johannis-, Stachel-, Himbeeren","Beerenobst, z.B. Johannis-, Stachel-, Himbeeren","Beerenobst, z.B. Johannis-, Stachel-, Himbeeren","Beerenobst, z.B. Johannis-, Stachel-, Himbeeren","Beerenobst, z.B. Johannis-, Stachel-, Himbeeren","Beerenobst, z.B. Johannis-, Stachel-, Himbeeren","Beerenobst, z.B. Johannis-, Stachel-, Himbeeren","Beerenobst, z.B. Johannis-, Stachel-, Himbeeren, Beerenobst, z.B., Heidelbeeren, Johannisbeeren,
Stachelbeeren, Himbeeren, Beerenobst, z.B., Johannis-, Stachel-, Himbeeren",1,,,
829,,,,"Sonstige Obstanlagen z.B. Holunder, Sanddorn","Sonstige Obstanlagen z.B. Holunder, Aronia, Maulbeeren","Sonstige Obstanlagen z.B. Holunder, Aronia, Maulbeeren","Sonstige Obstanlagen z.B. Holunder, Aronia, Maulbeeren","Sonstige Obstanlagen z.B. Holunder, Aronia, Maulbeeren","Sonstige Obstanlagen z.B. Holunder, Aronia, Maulbeeren","Sonstige Obstanlagen z.B. Holunder, Aronia, Maulbeeren","Sonstige Obstanlagen z.B. Holunder, Aronia, Maulbeeren","Sonstige Obstanlagen z.B. Holunder, Aronia, Maulbeeren","Sonstige Obstanlagen z.B. Holunder, Aronia, Maulbeeren","Sonstige Obstanlagen z.B. Holunder, Aronia, Maulbeeren","Sonstige Obstanlagen z.B. Holunder, Sanddorn, Sonstige Obstanlagen z.B. Holunder, Aronia, Maulbeeren",1,,,
830,"Baumschulen, nicht für Beerenobst","Baumschulen, nicht für Beerenobst","Baumschulen, nicht für Beerenobst",Pfirsiche in Vollanbau,Pfirsiche in Vollanbau,Pfirsiche in Vollanbau,Pfirsiche in Vollanbau,Pfirsiche in Vollanbau,Pfirsiche in Vollanbau,Pfirsiche in Vollanbau,Pfirsiche in Vollanbau,Pfirsiche in Vollanbau,Pfirsiche in Vollanbau,Pfirsiche in Vollanbau,"Baumschulen, nicht für Beerenobst, Pfirsiche in Vollanbau",1,,,
831,Beerenobst zur Vermehrung (in Baumschulen),Beerenobst zur Vermehrung (in Baumschulen),Beerenobst zur Vermehrung (in Baumschulen),Kirschen (Ertragsanlagen),Kirschen (Ertragsanlagen),Kirschen (Ertragsanlagen),Kirschen (Ertragsanlagen),Kirschen (Ertragsanlagen),Kirschen (Ertragsanlagen),Kirschen (Ertragsanlagen),Kirschen (Ertragsanlagen),Kirschen (Ertragsanlagen),Kirschen (Ertragsanlagen),Kirschen (Ertragsanlagen),"Beerenobst zur Vermehrung (in Baumschulen), Kirschen (Ertragsanlagen)",1,,,
841,,,,Kurzumtriebsplantagen2,Kurzumtriebsplantagen unter 20 Jahre2,"Kurzumtriebsplantagen unter 20 Jahre lt.
Direktzahlungendurchführungsverordnung",,"Kurzumtriebsplantagen unter 20 Jahre lt.
Direktzahlungendurchführungsverordnung","Kurzumtriebsplantagen (KUP) unter 20 Jahren lt.
Direktzahlungendurchführungsverordnung",,,KUP lt. GAPDZV,KUP lt. GAPDZV,KUP lt. GAPDZV,"Kurzumtriebsplantagen2, Kurzumtriebsplantagen unter 20 Jahre2, Kurzumtriebsplantagen unter 20 Jahre lt.
Direktzahlungendurchführungsverordnung, Kurzumtriebsplantagen (KUP) unter 20 Jahren lt.
Direktzahlungendurchführungsverordnung, KUP lt. GAPDZV",1,,,
846,Weihnachtsbäume,Weihnachtsbäume,Weihnachtsbäume,,,,Unterlagsrebfläche,Unterlagsrebfläche,Unterlagsrebfläche,Unterlagsrebfläche,Unterlagsrebfläche,Unterlagsrebfläche,Unterlagsrebfläche,Unterlagsrebfläche,"Weihnachtsbäume, Unterlagsrebfläche",1,,,
847,"Schnellwüchsige Forstgehölze, Umtriebszeit > 20 Jahre","Schnellwüchsige Forstgehölze, Umtriebszeit > 20 Jahre","Schnellwüchsige Forstgehölze, Umtriebszeit > 20 Jahre",,,,Steillagenweinbau,Steillagenweinbau,Steillagenweinbau,Steillagenweinbau,Steillagenweinbau,Steillagenweinbau,Steillagenweinbau,Steillagenweinbau,"Schnellwüchsige Forstgehölze, Umtriebszeit > 20 Jahre, Steillagenweinbau",,,Sonstige Dauerkulturen,
848,Niederwald mit Kurzumtrieb < = 20 Jahre,Niederwald mit Kurzumtrieb < = 20 Jahre,Niederwald mit Kurzumtrieb < = 20 Jahre,,,,,,Tafeltrauben,,Tafeltrauben,,Tafeltrauben,Tafeltrauben,"Niederwald mit Kurzumtrieb < = 20 Jahre, Tafeltrauben",,,Sonstige Dauerkulturen,
850,Rebland,Rebland,Rebland,,,,,,Sonstige Dauerkulturen,,Sonstige Dauerkulturen,,Sonstige Dauerkulturen,Sonstige Dauerkulturen,"Rebland, Sonstige Dauerkulturen",1,,,
853,,,,Riesenweizengras/Szarvasi-Gras,"Riesenweizengras/Szarvasi-Gras, Hirschgras","Riesenweizengras/Szarvasi-Gras, Hirschgras","Riesenweizengras/Szarvasi-Gras, Hirschgras","Riesenweizengras/Szarvasi-Gras, Hirschgras",Riesenweizengras/Szarvasi-Gras/Hirschgras,Riesenweizengras/Szarvasi-Gras/Hirschgras,Riesenweizengras/Szarvasi-Gras/Hirschgras,Riesenweizengras/Szarvasi-Gras/Hirschgras,Riesenweizengras/Szarvasi-Gras/Hirschgras,Riesenweizengras/Szarvasi-Gras/Hirschgras,"Riesenweizengras/Szarvasi-Gras, Riesenweizengras/Szarvasi-Gras, Hirschgras, Riesenweizengras/Szarvasi-Gras/Hirschgras",1,,,
855,,,,"Dauerkultur einer Gattung/Art, die in der aktuellen Liste nicht
aufgeführt ist1",,,,,"Dauerkultur einer Gattung/Art, die in der aktuellen Liste nicht aufgeführt ist",,"Dauerkultur einer Gattung/Art, die in der aktuellen Liste nicht aufgeführt ist",,"Dauerkultur einer Gattung/Art, die in der aktuellen Liste nicht aufgeführt ist","Dauerkultur einer Gattung/Art, die in der aktuellen Liste nicht aufgeführt ist","Dauerkultur einer Gattung/Art, die in der aktuellen Liste nicht
aufgeführt ist1, Dauerkultur einer Gattung/Art, die in der aktuellen Liste nicht aufgeführt ist",1,,,
860,,,,Spargel,Spargel,Spargel,Spargel,Spargel,Spargel,Spargel,Spargel,Spargel*,Spargel,Spargel,"Spargel, Spargel*",,,Spargel,
897,"Pflanzen für energetische Verwertung (soweit kein eigener Kulturcode vorhanden, z. B. Szavarsigras)","Pflanzen für energetische Verwertung (soweit kein eigener Kulturcode vorhanden, z. B. Szavarsigras)","Pflanzen für energetische Verwertung (soweit kein eigener Kulturcode vorhanden, z. B.
Szavarsigras)",,,,,,,,,,,"Pflanzen für energetische Verwertung (soweit kein eigener Kulturcode vorhanden, z. B.
Szavarsigras)","Pflanzen für energetische Verwertung (soweit kein eigener Kulturcode vorhanden, z. B. Szavarsigras), Pflanzen für energetische Verwertung (soweit kein eigener Kulturcode vorhanden, z. B.
Szavarsigras)",,,,
910,Sonst. landwirtschaftlich genutzte Fläche ,Sonst. landwirtschaftlich genutzte Fläche ,,Wildäsungsfläche,Wildäsungsfläche,Wildäsungsfläche,Wildäsungsfläche,Wildäsungsfläche,Wildäsungsfläche,Wildäsungsfläche,Wildäsungsfläche,Wildäsungsfläche,Wildäsungsfläche,Wildäsungsfläche,"Sonst. landwirtschaftlich genutzte Fläche , Wildäsungsfläche",,,,
912,Grassamenvermehrung ,Grassamenvermehrung ,,Grassamenvermehrung,Grassamenvermehrung,Grassamenvermehrung,Grassamenvermehrung,Grassamenvermehrung,Grassamenvermehrung,Grassamenvermehrung,Grassamenvermehrung,Grassamenvermehrung,Grassamenvermehrung,Grassamenvermehrung,"Grassamenvermehrung , Grassamenvermehrung",,,,
915,Blühstreifen und Ackerrandstreifen (NAU – A 5),Blühstreifen und Ackerrandstreifen (NAU – A 5),,Blühstreifen/Blühflächen,Blühstreifen/Blühflächen,Ackerrandstreifen und Blühflächen,Ackerrandstreifen und Blühflächen,Sonstige Ackerrandstreifen und Blühflächen,sonstige Blühstreifen oder Blühflächen,sonstige Blühstreifen oder Blühflächen,sonstige Blühstreifen oder Blühflächen,Ackerrandstreifen und Blühflächen,Ackerrandstreifen und Blühflächen,Ackerrandstreifen und Blühflächen,"Blühstreifen und Ackerrandstreifen (NAU – A 5), Blühstreifen/Blühflächen, Ackerrandstreifen und Blühflächen, Sonstige Ackerrandstreifen und Blühflächen, sonstige Blühstreifen oder Blühflächen",,,,
918,Mehrjährige Blühstreifen (NAU – A 6),Mehrjährige Blühstreifen (NAU – A 6),,Mehrjährige Blühstreifen/Blühflächen,Mehrjährige Blühstreifen und Blühflächen,Mehrjährige Blühstreifen und Blühflächen,Mehrjährige Blühstreifen und Blühflächen,"Mehrjährige Blühstreifen oder Blühflächen (nur für Flächen mit
AUM-BS 2 zu verwenden)","Mehrjährige Blühstreifen oder Blühflächen (nur für Flächen mit AUM-BS 2 zu
verwenden)",,,Mehrjährige Blühstreifen und Blühflächen,Mehrjährige Blühstreifen und Blühflächen,Mehrjährige Blühstreifen und Blühflächen,"Mehrjährige Blühstreifen (NAU – A 6), Mehrjährige Blühstreifen/Blühflächen, Mehrjährige Blühstreifen und Blühflächen, Mehrjährige Blühstreifen oder Blühflächen (nur für Flächen mit
AUM-BS 2 zu verwenden), Mehrjährige Blühstreifen oder Blühflächen (nur für Flächen mit AUM-BS 2 zu
verwenden)",,,,
920,Haus- und Nutzgarten,Haus- und Nutzgarten,,Haus- und Nutzgärten,Haus- und Nutzgärten,Haus- und Nutzgärten,Haus- und Nutzgärten,Haus- und Nutzgärten,Haus- und Nutzgärten,Haus- und Nutzgärten,Haus- und Nutzgärten,Haus- und Nutzgärten,Haus- und Nutzgärten,Haus- und Nutzgärten,"Haus- und Nutzgarten, Haus- und Nutzgärten",,,,
924,Biotope ohne landwirtschaftliche Nutzung,Biotope ohne landwirtschaftliche Nutzung,,,,,,,Biotope ohne landwirtschaftliche Nutzung (AUKM),,Biotope ohne landwirtschaftliche Nutzung (AUKM),,Biotope ohne landwirtschaftliche Nutzung (AUKM),Biotope ohne landwirtschaftliche Nutzung (AUKM),"Biotope ohne landwirtschaftliche Nutzung, Biotope ohne landwirtschaftliche Nutzung (AUKM)",,,,
928,,,,Gewässer- und Erosionsschutzstreifen,Gewässer- und Erosionsschutzstreifen,Saum- und Brandstrukturen (Gewässer- und,,"Saum- und Brandstrukturen (Gewässer- und
Erosionsschutzstreifen)",Saum- und Bandstrukturen,Saum- und Bandstrukturen,Saum- und Bandstrukturen,,Saum- und Bandstrukturen,Saum- und Bandstrukturen,"Gewässer- und Erosionsschutzstreifen, Saum- und Brandstrukturen (Gewässer- und, Saum- und Brandstrukturen (Gewässer- und
Erosionsschutzstreifen), Saum- und Bandstrukturen",,,,
955,Erstaufforstungsflächen auf Ackerflächen ohne Aktivierung von ZA,Erstaufforstungsflächen auf Ackerflächen ohne Aktivierung von ZA,,,,,,,Erstaufforstung ldw. Flächen gem. VO (EG) Nr. 1257/1999 (Ödland),,Erstaufforstung ldw. Flächen gem. VO (EG) Nr. 1257/1999 (Ödland),,Erstaufforstung ldw. Flächen gem. VO (EG) Nr. 1257/1999 (Ödland),Erstaufforstung ldw. Flächen gem. VO (EG) Nr. 1257/1999 (Ödland),"Erstaufforstungsflächen auf Ackerflächen ohne Aktivierung von ZA, Erstaufforstung ldw. Flächen gem. VO (EG) Nr. 1257/1999 (Ödland)",,,,
958,,,,,,,,,Streuwiesen (Hauptzweck Naturschutz),,Streuwiesen (Hauptzweck Naturschutz),,"Streuwiesen (Hauptzweck Naturschutz, ohne ldw. Nutzung)","Streuwiesen (Hauptzweck Naturschutz, ohne ldw. Nutzung)","Streuwiesen (Hauptzweck Naturschutz), Streuwiesen (Hauptzweck Naturschutz, ohne ldw. Nutzung)",,,,
972,,,,,Auslauf zur Nutztierhaltung (nicht DZ fähig),Grünland (nicht DZ fähig) z.B. Auslaufflächen zur,,"Grünland (nicht DZ fähig) z.B. Auslaufflächen zur
Nutztierhaltung",Grünland (nicht DZ fähig) z.B Auslaufflächen,Grünland (nicht DZ fähig) z.B Auslaufflächen,Grünland (nicht DZ fähig) z.B Auslaufflächen,Grünland (nicht DZ fähig),Grünland (nicht DZ fähig),Grünland (nicht DZ fähig),"Auslauf zur Nutztierhaltung (nicht DZ fähig), Grünland (nicht DZ fähig) z.B. Auslaufflächen zur, Grünland (nicht DZ fähig) z.B. Auslaufflächen zur
Nutztierhaltung, Grünland (nicht DZ fähig) z.B Auslaufflächen, Grünland (nicht DZ fähig)",,,,
980,,,,"Pilzbeet- und Gemüseflächen in Gebäuden (nicht im
Gewächshaus)","Pilzbeet- und Gemüseflächen in Gebäuden (nicht im
Gewächshaus)","Pilzbeet- und Gemüseflächen in Gebäuden (nicht im
Gewächshaus)","Pilzbeet- und Gemüseflächen in Gebäuden (nicht im
Gewächshaus)","Pilzbeet- und Gemüseflächen in Gebäuden (nicht im
Gewächshaus)",Pilzbeet- und Gemüseflächen in Gebäuden (nicht im Gewächshaus),Pilzbeet- und Gemüseflächen in Gebäuden (nicht im Gewächshaus),Pilzbeet- und Gemüseflächen in Gebäuden (nicht im Gewächshaus),Pilzbeet- und Gemüseflächen in Gebäuden (nicht im Gewächshaus),Pilzbeet- und Gemüseflächen in Gebäuden (nicht im Gewächshaus),Pilzbeet- und Gemüseflächen in Gebäuden (nicht im Gewächshaus),"Pilzbeet- und Gemüseflächen in Gebäuden (nicht im
Gewächshaus), Pilzbeet- und Gemüseflächen in Gebäuden (nicht im Gewächshaus)",,,,
982,,,,Sonstige Kurzumtriebsplantagen (Umtriebszeit über 20 Jahre),Sonstige Kurzumtriebsplantagen (Umtriebszeit über 20 Jahre),Sonstige Kurzumtriebsplantagen (Umtriebszeit über 20 Jahre),Sonstige Kurzumtriebsplantagen (Umtriebszeit über 20 Jahre),Sonstige Kurzumtriebsplantagen (Umtriebszeit über 20 Jahre),Sonstige Kurzumtriebsplantagen (Umtriebszeit über 20 Jahre),Sonstige Kurzumtriebsplantagen (Umtriebszeit über 20 Jahre),Sonstige Kurzumtriebsplantagen (Umtriebszeit über 20 Jahre),Sonstige KUP,Sonstige KUP,Sonstige KUP,"Sonstige Kurzumtriebsplantagen (Umtriebszeit über 20 Jahre), Sonstige KUP",,,,
990,Alle anderen Flächen,Alle anderen Flächen,Alle anderen Flächen,Alle anderen Flächen (keine LF),Alle anderen Flächen (keine LF),Alle anderen Flächen (keine LF),Alle anderen Flächen (keine LF),Alle anderen Flächen (keine LF),Alle anderen Flächen (keine LF),Alle anderen Flächen (keine LF),Alle anderen Flächen (keine LF),Alle anderen Flächen (keine LF),Alle anderen Flächen (keine LF),Alle anderen Flächen (keine LF),"Alle anderen Flächen, Alle anderen Flächen (keine LF)",,,,
991,,,,,nicht landwirt. Flächen in der Verfügungsgewalt des,nicht landwirt. Flächen in der Verfügungsgewalt des,,"Nicht landwirt. Flächen in der Verfügungsgewalt des
Antragstellers, die gemäß § 15 Absatz 1 des Direktzahlungen-
Durchführungsgesetzes als umweltsensibles Dauergrünland
bestimmt worden sind","Nicht landwirt. Flächen in der Verfügungsgewalt des Antragstellers, die
gemäß § 15 Absatz 1 des Direktzahlungen-Durchführungsgesetzes als
umweltsensibles Dauergrünland bestimmt worden sind",gemäß § 15 Absatz 1 des Direktzahlungen-Durchführungsgesetzes als,"Nicht landwirt. Flächen in der Verfügungsgewalt des Antragstellers, die
gemäß § 15 Absatz 1 des Direktzahlungen-Durchführungsgesetzes als
umweltsensibles Dauergrünland bestimmt worden sind","Nicht landwirt. Flächen in der Verfügungsgewalt des Antragstellers,
die gemäß GAPKondV als umweltsensibles Dauergrünland bestimmt
worden sind","Nicht landwirt. Flächen in der Verfügungsgewalt des Antragstellers, die gemäß","Nicht landwirt. Flächen in der Verfügungsgewalt des Antragstellers, die gemäß","nicht landwirt. Flächen in der Verfügungsgewalt des, Nicht landwirt. Flächen in der Verfügungsgewalt des
Antragstellers, die gemäß § 15 Absatz 1 des Direktzahlungen-
Durchführungsgesetzes als umweltsensibles Dauergrünland
bestimmt worden sind, Nicht landwirt. Flächen in der Verfügungsgewalt des Antragstellers, die
gemäß § 15 Absatz 1 des Direktzahlungen-Durchführungsgesetzes als
umweltsensibles Dauergrünland bestimmt worden sind, gemäß § 15 Absatz 1 des Direktzahlungen-Durchführungsgesetzes als, Nicht landwirt. Flächen in der Verfügungsgewalt des Antragstellers,
die gemäß GAPKondV als umweltsensibles Dauergrünland bestimmt
worden sind, Nicht landwirt. Flächen in der Verfügungsgewalt des Antragstellers, die gemäß",,,,
992,"Abbau-, Öd-, Un-, Geringstland, Sukzessionsflächen – dauerhaft aus der Erzeugung genommen","Abbau-, Öd-, Un-, Geringstland, Sukzessionsflächen – dauerhaft aus der Erzeugung genommen","Abbau-, Öd-, Un-, Geringstland, Sukzessionsflächen – dauerhaft aus der Erzeugung
genommen",,,,"Nicht landwirt. Flächen in folge Genehmigung DGL
Umwandlung","Nicht landwirt. Flächen in Folge Genehmigung DGL
Umwandlung",Nicht landwirt. Flächen in Folge Genehmigung DGL Umwandlung,Nicht landwirt. Flächen in Folge Genehmigung DGL Umwandlung,Nicht landwirt. Flächen in Folge Genehmigung DGL Umwandlung,Nicht landwirt. Flächen in Folge Genehmigung DGL Umwandlung,Nicht landwirt. Flächen in folge Genehmigung DGL Umwandlung,Nicht landwirt. Flächen in folge Genehmigung DGL Umwandlung,"Abbau-, Öd-, Un-, Geringstland, Sukzessionsflächen – dauerhaft aus der Erzeugung genommen, Abbau-, Öd-, Un-, Geringstland, Sukzessionsflächen – dauerhaft aus der Erzeugung
genommen, Nicht landwirt. Flächen in folge Genehmigung DGL
Umwandlung, Nicht landwirt. Flächen in Folge Genehmigung DGL
Umwandlung, Nicht landwirt. Flächen in Folge Genehmigung DGL Umwandlung, Nicht landwirt. Flächen in folge Genehmigung DGL Umwandlung",,,,
994,"Unbefestigte Mieten-, Stroh-, Futter und Dunglagerplätze auf DGL, Straßenbau","Unbefestigte Mieten-, Stroh-, Futter und Dunglagerplätze auf DGL, Straßenbau","Unbefestigte Mieten-, Stroh-, Futter und Dunglagerplätze auf DGL, Straßenbau","Unbefestigte Mieten-, Stroh-, Futter und Dunglagerplätze auf","Unbefestigte Mieten-, Stroh-, Futter und Dunglagerplätze auf","Vorübergehende, unbefestigte Mieten-, Stroh-, Futter und",,"Vorübergehende, unbefestigte Mieten-, Stroh-, Futter und
Dunglagerplätze auf DGL","Vorübergehende, unbefestigte Mieten, Stroh-, Futter- oder Dunglagerplätze
auf DGL",,"Vorübergehende, unbefestigte Mieten, Stroh-, Futter- oder Dunglagerplätze
auf DGL","Vorübergehende, unbefestigte Mieten, Stroh-, Futter- oder
Dunglagerplätze auf DGL","Vorübergehende, unbefestigte Mieten, Stroh-, Futter- oder Dunglagerplätze auf DGL","Vorübergehende, unbefestigte Mieten, Stroh-, Futter- oder Dunglagerplätze auf DGL","Unbefestigte Mieten-, Stroh-, Futter und Dunglagerplätze auf DGL, Straßenbau, Unbefestigte Mieten-, Stroh-, Futter und Dunglagerplätze auf, Vorübergehende, unbefestigte Mieten-, Stroh-, Futter und, Vorübergehende, unbefestigte Mieten-, Stroh-, Futter und
Dunglagerplätze auf DGL, Vorübergehende, unbefestigte Mieten, Stroh-, Futter- oder Dunglagerplätze
auf DGL, Vorübergehende, unbefestigte Mieten, Stroh-, Futter- oder
Dunglagerplätze auf DGL, Vorübergehende, unbefestigte Mieten, Stroh-, Futter- oder Dunglagerplätze auf DGL",,,,
996,"Unbefestigte Mieten-, Stroh-, Futter und Dunglagerplätze auf AL, Straßenbau","Unbefestigte Mieten-, Stroh-, Futter und Dunglagerplätze auf AL, Straßenbau","Unbefestigte Mieten-, Stroh-, Futter und Dunglagerplätze auf AL, Straßenbau","Unbefestigte Mieten-, Stroh-, Futter und Dunglagerplätze auf","Unbefestigte Mieten-, Stroh-, Futter und Dunglagerplätze auf","Vorübergehende, unbefestigte Mieten-, Stroh-, Futter und",,"Vorübergehende, unbefestigte Mieten-, Stroh-, Futter und
Dunglagerplätze auf AL","Vorübergehende, unbefestigte Mieten, Stroh-, Futter oder Dunglagerplätze
auf AL",,,"Vorübergehende, unbefestigte Mieten, Stroh-, Futter oder
Dunglagerplätze auf AL","Vorübergehende, unbefestigte Mieten, Stroh-, Futter oder Dunglagerplätze auf AL","Vorübergehende, unbefestigte Mieten, Stroh-, Futter oder Dunglagerplätze auf AL","Unbefestigte Mieten-, Stroh-, Futter und Dunglagerplätze auf AL, Straßenbau, Unbefestigte Mieten-, Stroh-, Futter und Dunglagerplätze auf, Vorübergehende, unbefestigte Mieten-, Stroh-, Futter und, Vorübergehende, unbefestigte Mieten-, Stroh-, Futter und
Dunglagerplätze auf AL, Vorübergehende, unbefestigte Mieten, Stroh-, Futter oder Dunglagerplätze
auf AL, Vorübergehende, unbefestigte Mieten, Stroh-, Futter oder
Dunglagerplätze auf AL, Vorübergehende, unbefestigte Mieten, Stroh-, Futter oder Dunglagerplätze auf AL",,,,
997,,,,,"Tauschflächen als Platzhalter (nur 0,00 ha)",,,,,,,,Sonstige Infrastrukturmaßnahme,Sonstige Infrastrukturmaßnahme,"Tauschflächen als Platzhalter (nur 0,00 ha), Sonstige Infrastrukturmaßnahme",,,,
998,Bodenschutzwald,Bodenschutzwald,Bodenschutzwald,"Abbau-, Öd-, Un-, Geringstland, Sukzessionsflächen –
dauerhaft aus der Erzeugung genommen","Abbau-, Öd-, Un-, Geringstland, Sukzessionsflächen –
dauerhaft aus der Erzeugung genommen","Abbau-, Öd-, Un-, Geringstland, Sukzessionsflächen –","Abbau-, Öd-, Un-, Geringstland, Sukzessionsflächen –
dauerhaft aus der Erzeugung genommen","Abbau-, Öd-, Un-, Geringstland, Sukzessionsflächen –
dauerhaft aus der Erzeugung genommen","Abbau-, Öd-, Un-, Geringstland, Sukzessionsflächen - dauerhaft aus der
Erzeugung genommen",,"Abbau-, Öd-, Un-, Geringstland, Sukzessionsflächen - dauerhaft aus der
Erzeugung genommen","Abbau-, Öd-, Un-, Geringstland, Sukzessionsflächen – dauerhaft aus","Abbau-, Öd-, Un-, Geringstland, Sukzessionsflächen - dauerhaft aus der Erzeugung","Abbau-, Öd-, Un-, Geringstland, Sukzessionsflächen - dauerhaft aus der Erzeugung","Bodenschutzwald, Abbau-, Öd-, Un-, Geringstland, Sukzessionsflächen –
dauerhaft aus der Erzeugung genommen, Abbau-, Öd-, Un-, Geringstland, Sukzessionsflächen –, Abbau-, Öd-, Un-, Geringstland, Sukzessionsflächen - dauerhaft aus der
Erzeugung genommen, Abbau-, Öd-, Un-, Geringstland, Sukzessionsflächen – dauerhaft aus, Abbau-, Öd-, Un-, Geringstland, Sukzessionsflächen - dauerhaft aus der Erzeugung",,,,
