kulturcode,kulturart 2012,kulturart 2013,kulturart 2014,kulturart 2015,kulturart 2016,kulturart 2017,kulturart 2018,kulturart 2019,kulturart 2020,kulturart 2021,kulturart 2022,kulturart 2023,kulturart 2024,latest_kulturart,all_kulturart,take_latest,take_Gruppe,new_kulturart,new_kulturcode
738,,,,Rudbeckien (Schwarzäugige Rudbeckie/Sonnenhut),Rudbeckien (Schwarzäugige Rudbeckie/Sonnenhut),"Rudbeckien (Schwarzäugige Rudbeckie/Sonnenhut,
Leuchtender Sonnenhut, Schlitzblättriger Sonnenhut)","Rudbeckien (Schwarzäugige Rudbeckie/Sonnenhut,
Leuchtender Sonnenhut, Schlitzblättriger Sonnenhut)","Rudbeckien (Schwarzäugige Rudbeckie/Sonnenhut,
Leuchtender Sonnenhut, Schlitzblättriger Sonnenhut)","Rudbeckien (Schwarzäugige Rudbeckie/Sonnenhut, Leuchtender Sonnenhut,
Schlitzblättriger Sonnenhut)",,,"Rudbeckien (Schwarzäugige Rudbeckie/Sonnenhut, Leuchtender
Sonnenhut, Schlitzblättriger Sonnenhut)","Rudbeckien (Schwarzäugige Rudbeckie/Sonnenhut, Leuchtender Sonnenhut,
Schlitzblättriger Sonnenhut)","Rudbeckien (Schwarzäugige Rudbeckie/Sonnenhut, Leuchtender Sonnenhut,
Schlitzblättriger Sonnenhut)","Rudbeckien (Schwarzäugige Rudbeckie/Sonnenhut), Rudbeckien (Schwarzäugige Rudbeckie/Sonnenhut,
Leuchtender Sonnenhut, Schlitzblättriger Sonnenhut), Rudbeckien (Schwarzäugige Rudbeckie/Sonnenhut, Leuchtender Sonnenhut,
Schlitzblättriger Sonnenhut), Rudbeckien (Schwarzäugige Rudbeckie/Sonnenhut, Leuchtender
Sonnenhut, Schlitzblättriger Sonnenhut)",,,,
739,,,,"Tagetes (Aufrechte Studentenblume, Tagetes patula, Tagetes","Tagetes, Studentenblume","Tagetes, Studentenblume","Tagetes, Studentenblume","Tagetes, Studentenblume",Tagetes/Studentenblume,Tagetes/Studentenblume,Tagetes/Studentenblume,Tagetes/Studentenblume,Tagetes/Studentenblume,Tagetes/Studentenblume,"Tagetes (Aufrechte Studentenblume, Tagetes patula, Tagetes, Tagetes, Studentenblume, Tagetes/Studentenblume",,,,
745,,,,Gladiolen (Gartengladiole),Gladiolen,Gladiolen,Gladiolen,Gladiolen,Gladiolen,Gladiolen,,Gladiolen,Gladiolen,Gladiolen,"Gladiolen (Gartengladiole), Gladiolen",,,,
746,,,,Tulpen (Garten-Tulpe),Tulpen,Tulpen,Tulpen,Tulpen,Tulpen,Tulpen,Tulpen,Tulpen,Tulpen,Tulpen,"Tulpen (Garten-Tulpe), Tulpen",,,,
747,,,,Christophskräuter (Trauben-Silberkerze),Trauben-Silberkerze,Trauben-Silberkerze,Trauben-Silberkerze,Trauben-Silberkerze,Trauben-Silberkerze,Trauben-Silberkerze,Trauben-Silberkerze,Trauben-Silberkerze,Trauben-Silberkerze,Trauben-Silberkerze,"Christophskräuter (Trauben-Silberkerze), Trauben-Silberkerze",,,,
748,,,,Feldrittersporne (Gewöhnlicher Feldrittersporn),Rittersporn,Rittersporn,Rittersporn,Rittersporn,Rittersporn,Rittersporn,Rittersporn,Rittersporn,Rittersporn,Rittersporn,"Feldrittersporne (Gewöhnlicher Feldrittersporn), Rittersporn",,,,
749,,,,"Scabiosen (Samt-Skabiose, Kugel-Skabiose)",Skabiosen,Skabiosen,Skabiosen,Skabiosen,Skabiosen,Skabiosen,Skabiosen,Skabiosen,Skabiosen,Skabiosen,"Scabiosen (Samt-Skabiose, Kugel-Skabiose), Skabiosen",,,,
750,,,,Dahlien (Garten-Dahlie),Dahlien,Dahlien,Dahlien,Dahlien,Dahlien,Dahlien,Dahlien,Dahlien,Dahlien,Dahlien,"Dahlien (Garten-Dahlie), Dahlien",,,,
751,,,,Rodiola (Rosenwurz),Rosenwurz,Rosenwurz,Rosenwurz,Rosenwurz,Rosenwurz,Rosenwurz,Rosenwurz,Rosenwurz,Rosenwurz,Rosenwurz,"Rodiola (Rosenwurz), Rosenwurz",,,,
752,,,,"Krokusse (Safran, Garten-Krokus)","Krokusse (Safran, Gartenkrokus)","Krokusse (Safran, Gartenkrokus)","Krokusse (Safran, Gartenkrokus)","Krokusse (Safran, Gartenkrokus)","Krokusse (Safran, Garten-Krokus)","Krokusse (Safran, Garten-Krokus)","Krokusse (Safran, Garten-Krokus)","Krokusse (Safran, Garten-Krokus)","Krokusse (Safran, Garten-Krokus)","Krokusse (Safran, Garten-Krokus)","Krokusse (Safran, Garten-Krokus), Krokusse (Safran, Gartenkrokus)",,,,
753,,,,Hibiskus,Hibiskus,Hibiskus (Chinesischer Roseneibisch),Hibiskus (Chinesischer Roseneibisch),Hibiskus (Chinesischer Roseneibisch),Hibiskus (Chinesischer Roseneibisch),Hibiskus (Chinesischer Roseneibisch),Hibiskus (Chinesischer Roseneibisch),Hibiskus (Chinesischer Roseneibisch),Hibiskus (Chinesischer Roseneibisch),Hibiskus (Chinesischer Roseneibisch),"Hibiskus, Hibiskus (Chinesischer Roseneibisch)",,,,
755,,,,Wolfsmilch (Weißrand-Wolfsmilch),Wolfsmilch,Wolfsmilch,Wolfsmilch,Wolfsmilch,Wolfsmilch,Wolfsmilch,Wolfsmilch,Wolfsmilch,Wolfsmilch,Wolfsmilch,"Wolfsmilch (Weißrand-Wolfsmilch), Wolfsmilch",,,,
757,,,,Montbretien (Garten-Montbretie),Montbretien,Montbretien,Montbretien,Montbretien,Montbretien,Montbretien,Montbretien,Montbretien,Montbretien,Montbretien,"Montbretien (Garten-Montbretie), Montbretien",,,,
758,,,,Halskräuter (Blaues Halskraut),Blaues Halskraut,Halskräuter (Blaues Halskraut),Halskräuter (Blaues Halskraut),Halskräuter (Blaues Halskraut),Halskräuter (Blaues Halskraut),Halskräuter (Blaues Halskraut),Halskräuter (Blaues Halskraut),Halskräuter (Blaues Halskraut),Halskräuter (Blaues Halskraut),Halskräuter (Blaues Halskraut),"Halskräuter (Blaues Halskraut), Blaues Halskraut",,,,
759,,,,Gipskräuter (Schleierkraut),Schleierkraut,Gipskräuter (Schleierkraut),Gipskräuter (Schleierkraut),Gipskräuter (Schleierkraut),Gipskräuter (Schleierkraut),Gipskräuter (Schleierkraut),Gipskräuter (Schleierkraut),Gipskräuter (Schleierkraut),Gipskräuter (Schleierkraut),Gipskräuter (Schleierkraut),"Gipskräuter (Schleierkraut), Schleierkraut",,,,
